name,description
BDE,Business Development
HRE,Human Relations
FIN,Finance
ITS,Information Tech Services
OGC,Office of the General Counsel
CSR,Campus Services
PAC,Public Affairs and Communications
ESM,Endpoint System Management
SEC,Information Security
ITS,Information Technology Services
